XCoord,YCoord,OBJECTID,XCOORD,YCOORD
-75.26778512,39.87742662,1,-75.267785,39.877427
-75.24282335,39.87742662,2,-75.242823,39.877427
-75.21786158,39.87742662,3,-75.217862,39.877427
-75.19289981,39.87742662,4,-75.192900,39.877427
-75.16793804,39.87742662,5,-75.167938,39.877427
-75.14297627,39.87742662,6,-75.142976,39.877427
-75.11801450,39.87742662,7,-75.118014,39.877427
-75.09305273,39.87742662,8,-75.093053,39.877427
-75.06809096,39.87742662,9,-75.068091,39.877427
-75.04312919,39.87742662,10,-75.043129,39.877427
-75.01816742,39.87742662,11,-75.018167,39.877427
-74.99320565,39.87742662,12,-74.993206,39.877427
-74.96824388,39.87742662,13,-74.968244,39.877427
-75.26778512,39.89827185,14,-75.267785,39.898272
-75.24282335,39.89827185,15,-75.242823,39.898272
-75.21786158,39.89827185,16,-75.217862,39.898272
-75.19289981,39.89827185,17,-75.192900,39.898272
-75.16793804,39.89827185,18,-75.167938,39.898272
-75.14297627,39.89827185,19,-75.142976,39.898272
-75.11801450,39.89827185,20,-75.118014,39.898272
-75.09305273,39.89827185,21,-75.093053,39.898272
-75.06809096,39.89827185,22,-75.068091,39.898272
-75.04312919,39.89827185,23,-75.043129,39.898272
-75.01816742,39.89827185,24,-75.018167,39.898272
-74.99320565,39.89827185,25,-74.993206,39.898272
-74.96824388,39.89827185,26,-74.968244,39.898272
-75.26778512,39.91911708,27,-75.267785,39.919117
-75.24282335,39.91911708,28,-75.242823,39.919117
-75.21786158,39.91911708,29,-75.217862,39.919117
-75.19289981,39.91911708,30,-75.192900,39.919117
-75.16793804,39.91911708,31,-75.167938,39.919117
-75.14297627,39.91911708,32,-75.142976,39.919117
-75.11801450,39.91911708,33,-75.118014,39.919117
-75.09305273,39.91911708,34,-75.093053,39.919117
-75.06809096,39.91911708,35,-75.068091,39.919117
-75.04312919,39.91911708,36,-75.043129,39.919117
-75.01816742,39.91911708,37,-75.018167,39.919117
-74.99320565,39.91911708,38,-74.993206,39.919117
-74.96824388,39.91911708,39,-74.968244,39.919117
-75.26778512,39.93996231,40,-75.267785,39.939962
-75.24282335,39.93996231,41,-75.242823,39.939962
-75.21786158,39.93996231,42,-75.217862,39.939962
-75.19289981,39.93996231,43,-75.192900,39.939962
-75.16793804,39.93996231,44,-75.167938,39.939962
-75.14297627,39.93996231,45,-75.142976,39.939962
-75.11801450,39.93996231,46,-75.118014,39.939962
-75.09305273,39.93996231,47,-75.093053,39.939962
-75.06809096,39.93996231,48,-75.068091,39.939962
-75.04312919,39.93996231,49,-75.043129,39.939962
-75.01816742,39.93996231,50,-75.018167,39.939962
-74.99320565,39.93996231,51,-74.993206,39.939962
-74.96824388,39.93996231,52,-74.968244,39.939962
-75.26778512,39.96080754,53,-75.267785,39.960808
-75.24282335,39.96080754,54,-75.242823,39.960808
-75.21786158,39.96080754,55,-75.217862,39.960808
-75.19289981,39.96080754,56,-75.192900,39.960808
-75.16793804,39.96080754,57,-75.167938,39.960808
-75.14297627,39.96080754,58,-75.142976,39.960808
-75.11801450,39.96080754,59,-75.118014,39.960808
-75.09305273,39.96080754,60,-75.093053,39.960808
-75.06809096,39.96080754,61,-75.068091,39.960808
-75.04312919,39.96080754,62,-75.043129,39.960808
-75.01816742,39.96080754,63,-75.018167,39.960808
-74.99320565,39.96080754,64,-74.993206,39.960808
-74.96824388,39.96080754,65,-74.968244,39.960808
-75.26778512,39.98165277,66,-75.267785,39.981653
-75.24282335,39.98165277,67,-75.242823,39.981653
-75.21786158,39.98165277,68,-75.217862,39.981653
-75.19289981,39.98165277,69,-75.192900,39.981653
-75.16793804,39.98165277,70,-75.167938,39.981653
-75.14297627,39.98165277,71,-75.142976,39.981653
-75.11801450,39.98165277,72,-75.118014,39.981653
-75.09305273,39.98165277,73,-75.093053,39.981653
-75.06809096,39.98165277,74,-75.068091,39.981653
-75.04312919,39.98165277,75,-75.043129,39.981653
-75.01816742,39.98165277,76,-75.018167,39.981653
-74.99320565,39.98165277,77,-74.993206,39.981653
-74.96824388,39.98165277,78,-74.968244,39.981653
-75.26778512,40.00249800,79,-75.267785,40.002498
-75.24282335,40.00249800,80,-75.242823,40.002498
-75.21786158,40.00249800,81,-75.217862,40.002498
-75.19289981,40.00249800,82,-75.192900,40.002498
-75.16793804,40.00249800,83,-75.167938,40.002498
-75.14297627,40.00249800,84,-75.142976,40.002498
-75.11801450,40.00249800,85,-75.118014,40.002498
-75.09305273,40.00249800,86,-75.093053,40.002498
-75.06809096,40.00249800,87,-75.068091,40.002498
-75.04312919,40.00249800,88,-75.043129,40.002498
-75.01816742,40.00249800,89,-75.018167,40.002498
-74.99320565,40.00249800,90,-74.993206,40.002498
-74.96824388,40.00249800,91,-74.968244,40.002498
-75.26778512,40.02334323,92,-75.267785,40.023343
-75.24282335,40.02334323,93,-75.242823,40.023343
-75.21786158,40.02334323,94,-75.217862,40.023343
-75.19289981,40.02334323,95,-75.192900,40.023343
-75.16793804,40.02334323,96,-75.167938,40.023343
-75.14297627,40.02334323,97,-75.142976,40.023343
-75.11801450,40.02334323,98,-75.118014,40.023343
-75.09305273,40.02334323,99,-75.093053,40.023343
-75.06809096,40.02334323,100,-75.068091,40.023343
-75.04312919,40.02334323,101,-75.043129,40.023343
-75.01816742,40.02334323,102,-75.018167,40.023343
-74.99320565,40.02334323,103,-74.993206,40.023343
-74.96824388,40.02334323,104,-74.968244,40.023343
-75.26778512,40.04418846,105,-75.267785,40.044188
-75.24282335,40.04418846,106,-75.242823,40.044188
-75.21786158,40.04418846,107,-75.217862,40.044188
-75.19289981,40.04418846,108,-75.192900,40.044188
-75.16793804,40.04418846,109,-75.167938,40.044188
-75.14297627,40.04418846,110,-75.142976,40.044188
-75.11801450,40.04418846,111,-75.118014,40.044188
-75.09305273,40.04418846,112,-75.093053,40.044188
-75.06809096,40.04418846,113,-75.068091,40.044188
-75.04312919,40.04418846,114,-75.043129,40.044188
-75.01816742,40.04418846,115,-75.018167,40.044188
-74.99320565,40.04418846,116,-74.993206,40.044188
-74.96824388,40.04418846,117,-74.968244,40.044188
-75.26778512,40.06503369,118,-75.267785,40.065034
-75.24282335,40.06503369,119,-75.242823,40.065034
-75.21786158,40.06503369,120,-75.217862,40.065034
-75.19289981,40.06503369,121,-75.192900,40.065034
-75.16793804,40.06503369,122,-75.167938,40.065034
-75.14297627,40.06503369,123,-75.142976,40.065034
-75.11801450,40.06503369,124,-75.118014,40.065034
-75.09305273,40.06503369,125,-75.093053,40.065034
-75.06809096,40.06503369,126,-75.068091,40.065034
-75.04312919,40.06503369,127,-75.043129,40.065034
-75.01816742,40.06503369,128,-75.018167,40.065034
-74.99320565,40.06503369,129,-74.993206,40.065034
-74.96824388,40.06503369,130,-74.968244,40.065034
-75.26778512,40.08587892,131,-75.267785,40.085879
-75.24282335,40.08587892,132,-75.242823,40.085879
-75.21786158,40.08587892,133,-75.217862,40.085879
-75.19289981,40.08587892,134,-75.192900,40.085879
-75.16793804,40.08587892,135,-75.167938,40.085879
-75.14297627,40.08587892,136,-75.142976,40.085879
-75.11801450,40.08587892,137,-75.118014,40.085879
-75.09305273,40.08587892,138,-75.093053,40.085879
-75.06809096,40.08587892,139,-75.068091,40.085879
-75.04312919,40.08587892,140,-75.043129,40.085879
-75.01816742,40.08587892,141,-75.018167,40.085879
-74.99320565,40.08587892,142,-74.993206,40.085879
-74.96824388,40.08587892,143,-74.968244,40.085879
-75.26778512,40.10672415,144,-75.267785,40.106724
-75.24282335,40.10672415,145,-75.242823,40.106724
-75.21786158,40.10672415,146,-75.217862,40.106724
-75.19289981,40.10672415,147,-75.192900,40.106724
-75.16793804,40.10672415,148,-75.167938,40.106724
-75.14297627,40.10672415,149,-75.142976,40.106724
-75.11801450,40.10672415,150,-75.118014,40.106724
