XCoord,YCoord,OBJECTID,ORIG_FID,XCOORD,YCOORD
-80.08115681,40.37154113,1,1,-80.081157,40.371541
-80.05245244,40.37154113,2,2,-80.052452,40.371541
-80.02374806,40.37154113,3,3,-80.023748,40.371541
-79.99504369,40.37154113,4,4,-79.995044,40.371541
-79.96633931,40.37154113,5,5,-79.966339,40.371541
-79.93763494,40.37154113,6,6,-79.937635,40.371541
-79.90893056,40.37154113,7,7,-79.908931,40.371541
-79.88022619,40.37154113,8,8,-79.880226,40.371541
-80.08115681,40.39141582,9,9,-80.081157,40.391416
-80.05245244,40.39141582,10,10,-80.052452,40.391416
-80.02374806,40.39141582,11,11,-80.023748,40.391416
-79.99504369,40.39141582,12,12,-79.995044,40.391416
-79.96633931,40.39141582,13,13,-79.966339,40.391416
-79.93763494,40.39141582,14,14,-79.937635,40.391416
-79.90893056,40.39141582,15,15,-79.908931,40.391416
-79.88022619,40.39141582,16,16,-79.880226,40.391416
-80.08115681,40.41129051,17,17,-80.081157,40.411291
-80.05245244,40.41129051,18,18,-80.052452,40.411291
-80.02374806,40.41129051,19,19,-80.023748,40.411291
-79.99504369,40.41129051,20,20,-79.995044,40.411291
-79.96633931,40.41129051,21,21,-79.966339,40.411291
-79.93763494,40.41129051,22,22,-79.937635,40.411291
-79.90893056,40.41129051,23,23,-79.908931,40.411291
-79.88022619,40.41129051,24,24,-79.880226,40.411291
-80.08115681,40.43116520,25,25,-80.081157,40.431165
-80.05245244,40.43116520,26,26,-80.052452,40.431165
-80.02374806,40.43116520,27,27,-80.023748,40.431165
-79.99504369,40.43116520,28,28,-79.995044,40.431165
-79.96633931,40.43116520,29,29,-79.966339,40.431165
-79.93763494,40.43116520,30,30,-79.937635,40.431165
-79.90893056,40.43116520,31,31,-79.908931,40.431165
-79.88022619,40.43116520,32,32,-79.880226,40.431165
-80.08115681,40.45103989,33,33,-80.081157,40.451040
-80.05245244,40.45103989,34,34,-80.052452,40.451040
-80.02374806,40.45103989,35,35,-80.023748,40.451040
-79.99504369,40.45103989,36,36,-79.995044,40.451040
-79.96633931,40.45103989,37,37,-79.966339,40.451040
-79.93763494,40.45103989,38,38,-79.937635,40.451040
-79.90893056,40.45103989,39,39,-79.908931,40.451040
-79.88022619,40.45103989,40,40,-79.880226,40.451040
-80.08115681,40.47091459,41,41,-80.081157,40.470915
-80.05245244,40.47091459,42,42,-80.052452,40.470915
-80.02374806,40.47091459,43,43,-80.023748,40.470915
-79.99504369,40.47091459,44,44,-79.995044,40.470915
-79.96633931,40.47091459,45,45,-79.966339,40.470915
-79.93763494,40.47091459,46,46,-79.937635,40.470915
-79.90893056,40.47091459,47,47,-79.908931,40.470915
-79.88022619,40.47091459,48,48,-79.880226,40.470915
-80.08115681,40.49078928,49,49,-80.081157,40.490789
-80.05245244,40.49078928,50,50,-80.052452,40.490789
-80.02374806,40.49078928,51,51,-80.023748,40.490789
-79.99504369,40.49078928,52,52,-79.995044,40.490789
-79.96633931,40.49078928,53,53,-79.966339,40.490789
-79.93763494,40.49078928,54,54,-79.937635,40.490789
-79.90893056,40.49078928,55,55,-79.908931,40.490789
-79.88022619,40.49078928,56,56,-79.880226,40.490789
